name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id
"Martin, Stephen, MP",ALP,2001-04-05,"—I move:
That so much of the standing and sessional orders be suspended, as would prevent the Member for Cunningham moving forthwith:
(1)	This House notes that:
(a)	In an answer to a question on the Defence White Paper by the Minister for Defence on 8 March 2001 the Hansard Greens contained the following sentence:
“Are they going to undermine our capacity for the purchase of new combat aircraft carriers?”
(b)	In the final version of the House Hansard of 8 March 2001, the answer from the Minister for Defence is recorded as:
“Are they going to undermine our capacity for the purchase of new combat aircraft?”
(c)	The removal of the word “carriers” conveys a completely different meaning to the answer, which is contrary to House practice (see House of Representatives Practice, Third Edition, p. 573), where words can only be omitted if they do not change the substance or meaning of the answer.
(d)	By the Minister's action he again demonstrates his complete lack of knowledge regarding the contents of the Defence White Paper.
(2)	This House calls for the restoration of the word “carriers” to the Hansard record as a true and accurate report of the Minister for Defence's answer.
Mr Speaker, this man is doing a Billy McMahon. He is changing the Hansard report.
Motion (by Mr Hockey) put:
That the member be not further heard.",REPS,<title>MINISTER FOR DEFENCE: HANSARD REPORT</title>,<title>Suspension of Standing and Sessional Orders</title>,Miscellaneous,0,1
"McLeay, Leo, MP",ALP,2001-04-05,"—If he does not know the difference between aircraft carriers and aircraft, let us hope he does not have to deal with—
Motion (by Mr Hockey) put:
That the member be not further heard.",REPS,<title>MINISTER FOR DEFENCE: HANSARD REPORT</title>,<title>Suspension of Standing and Sessional Orders</title>,Miscellaneous,0,1
"SPEAKER, Mr",N/A,2001-04-05,"—Yesterday the honourable member for Wills asked me whether members raising points of order were required to make any declarations of interest in connection with the subject of their point of order. When the present arrangements for the declaration of members' interests were first introduced by resolution of October 1984, members were required to declare interests orally before they participated in debates or voted, but the requirement was abolished in 1988. This change was made on the recommendation of the Committee of Members' Interests which had expressed doubt that the requirement served any useful purpose in view of the obligation on members to lodge written declarations: House of Representatives Practice, page 161. Any member who wishes to propose a change in the arrangements is of course free to take up the matter with the Committee of Members' Interests or the Standing Committee on Procedure. 
—Chief Opposition Whip!",REPS,<title>QUESTIONS TO MR SPEAKER</title>,<title>Questions Without Notice: Points of Order</title>,Questions to the Speaker,1,1
"Nugent, Peter, MP",LP,2001-04-05,"—As required by resolution of the House, I wish to table copies of notifications of alterations of interests received during the period 6 December 2000 to 4 April 2001.",REPS,<title>COMMITTEES</title>,<title>Members' Interests Committee</title>,Committees,3,1
"Nugent, Peter, MP",LP,2001-04-05,"—As required by resolution of the House, I wish to table copies of notifications of alterations of interests received during the period 6 December 2000 to 4 April 2001.",REPS,<title>COMMITTEES</title>,<title>Report</title>,Committees,3,2
"Slipper, Peter, MP",LP,2001-04-05,"—I move:
That the amendment be agreed to.
When the Electoral and Referendum Amendment Bill (No. 1) 2001 was presented to the Senate on Tuesday, 3 April for the second reading debate, the Australian Democrats proposed an amendment which was supported by the Australian Labor Party. The amendment, as proposed by the Democrats and supported by the ALP, is to oppose schedule 1, item 45, page 16, lines 9 and 10 of the Electoral and Referendum Bill (No. 1) 2001. This amendment means that section 311A of the Commonwealth Electoral Act is not to be removed from the legislation.
The government will not be opposing this amendment. Section 311A requires that each government department must include in its annual report particulars of amounts paid by or on behalf of the Commonwealth department to advertising agencies, market research organisations, polling organisations, direct mail organisations and media advertising organisations.
You would be interested to know that the Special Minister of State is writing to the Joint Committee of Public Accounts and Audit on the matter. The minister will be asking the joint committee to give consideration to recommendation 48 of the Joint Standing Committee on Electoral Matters report on the conduct of the 1998 federal election with the intention to include this provision in the JCPAA reporting guidelines.  The government proposes to give effect to clause 45 of the Electoral and Referendum Bill (No. 1) 2001 and repeal section 311A in the upcoming electoral reform bill.
This is one of those matters in which the government has in fact bowed to the realities of the numbers in the Senate. We did prefer the pre-existing situation, but it is a fact of life that the legislation as submitted to the Senate by the government was not going to be carried and, as a result of that, we have accepted this amendment, albeit reluctantly. The amendment, however, does not destroy the principal intentions that the government had in the bill and our aim, of course, is to continue to improve the integrity of the electoral process.
—It is so important.
—It is important, particularly with an election coming up towards the end of the year, and it is absolutely vital that the people of Australia should have confidence that the result as declared following polling day in fact represents the collective will of the Australian people. That is the reason this government does not resile from or apologise for our continued efforts, at times frustrated by the Australian Labor Party, to improve the integrity of the electoral process. 
As one of the oldest democracies in the world, we in Australia are rightly proud of our electoral record. But that does not mean that we should not continue to seek to improve the process or to continue to ensure that we have integrity of the electoral system so that we are in fact able, on behalf of the Australian community, to maintain confidence by the community in the electoral process, our system of government and indeed the way we are governed. As the Minister for Community Services has now arrived in the House I will not—
—He is a great supporter of democracy. 
—He is a great supporter of democracy, as the Minister for Employment Services at the table points out. I will not continue further, except to say that I very strongly urge the House to support the motion which has been moved in the House this morning.
Question resolved in the affirmative.",REPS,<title>ELECTORAL AND REFERENDUM AMENDMENT BILL (NO. 1) 2001</title>,<title>Consideration of Senate Message</title>,Bills,15,1
"Anthony, Larry, MP",NP,2001-04-05,"—The government proposes that amendment No. 5 be disagreed to and that amendments Nos 1 to 4 be disagreed to but that amendments be made in place thereof. I suggest, therefore, that it may suit the convenience of the House to first consider amendment No. 5 and, when that amendment has been disposed of, to consider Nos 1 to 4. I move:
That amendment No. 5 be disagreed to.
The government opposes the Senate amendment, which is to omit schedule 8 to the bill. The amendment fails to address concerns expressed to the Child Support Agency by both resident and non-resident parents. These concerns are that privacy can be breached unnecessarily by the current requirements and that the other party to child support assessment be given copies of supporting documents to an application for a change of child support assessment. These concerns were addressed in the original amendments in schedule 8. The proposal to restrict access by parents to documentation used during the change of assessment process was rejected by the non-government parliamentarians on the basis that this would be a denial of natural justice. 
I must stress that the application and response forms used in the change of assessment process request comprehensive information from both parties. The complete forms are provided to both parents and contain all the information that is relevant to the consideration of a change of assessment. This information will still be provided to both parents, satisfying the requirements of natural justice. However, in applying for a change of assessment, parents are also invited to provide information to corroborate their claims. In some cases they provide copies of everything from grocery receipts to telephone bills, utility bills and credit card statements.  
Parents may also provide very personal and sensitive information about third parties, including medical reports, about new partners or children or business records showing details of suppliers and purchasers. These documents are useful to the decision makers as a corroborative tool and assist the CSA in the verification process. The government considers that parents will be more likely to provide documents to support their claims when they know this personal and sensitive information will not be provided to the other parties. ",REPS,<title>CHILD SUPPORT LEGISLATION AMENDMENT BILL (NO. 2) 2000</title>,<title>Consideration of Senate Message</title>,Bills,16,1
"Swan, Wayne, MP",ALP,2001-04-05,"—Labor supported seven of the 10 measures in the original bill. Amendments have been made in the Senate, one of which we are discussing now. Unfortunately, I have had only about 20 minutes to look at the proposals that have come back to the House, so I am not going to respond in detail here today. That will occur in another place at a future time. I will not be seeking to divide the House over any of these measures. That may also occur, depending on whether agreement can be reached with the government on these matters, in the upper house at another time. 
I would like to put on the record that our side of the House supports reform of the Child Support Scheme, including seven out of the 10 measures. In particular, Labor has supported measures in the legislation that have assisted second families, and it has even put to the government that they should consider separating these important measures from the rest of the bill if we cannot reach agreement on other matters. I would certainly like to restate my support for the principle of shared care. Recent research, for instance, conducted by Henman and Mitchell has thrown a bit more light on this issue. That indicates that, as commonsense would tell us, non-custodial parents do incur additional costs as a result of having contact with their children. What is important about their work is that they show that the costs to both separated parents sharing care are higher than the costs of care for intact families. This means that reform of the Child Support Act, when it seeks only to shift the balance of resources between custodial and non-custodial families, does not really address the problem. 
This is one of the sticking points, as the minister is very well aware. We will continue in discussions with the government about all of the contentious measures, including the one before us at the moment. It would certainly be my hope that we could reach agreement in these matters, but that remains to be seen. We reserve our right to amend the bill in the Senate after we have considered in detail the government's latest proposals.
Question resolved in the affirmative.",REPS,<title>CHILD SUPPORT LEGISLATION AMENDMENT BILL (NO. 2) 2000</title>,<title>Consideration of Senate Message</title>,Bills,16,1
"Anthony, Larry, MP",NP,2001-04-05,"—I present the reasons for the House disagreeing to Senate amendment No. 5 and move:
That the reasons be adopted.
Question resolved in the affirmative.",REPS,<title>CHILD SUPPORT LEGISLATION AMENDMENT BILL (NO. 2) 2000</title>,<title>Consideration of Senate Message</title>,Bills,16,1
"Anthony, Larry, MP",NP,2001-04-05,"—I move:
That amendments Nos 1 to 4 be disagreed to and government amendments Nos 1 to 8 be made in place thereof:
(1)	Clause 2, page 1 (after line 18), after subclause (1), insert:
	(1A)	Part 1 of Schedule 1 and items 22, 23, 24, 25 and 26 of Part 2 of Schedule 1 commence on whichever of the following days applies:
	(a)	if this Act receives the Royal Assent on or before 1 July 2002—on 1 July 2002;
	(b)	otherwise—on a day or days to be fixed by Proclamation.
	(1B)	Items 18, 19, 20 and 21 of Part 2 of Schedule 1 commence on whichever of the following days applies:
	(a)	if this Act receives the Royal Assent on or before 1 December 2001—on 1 December 2001;
	(b)	otherwise—on a day or days to be fixed by Proclamation.
(2)	Clause 2, page 1 (line 19), omit “Schedules 1 and 4 commence”, substitute “Schedule 2 commences”. 
(3)	Clause 2, page 2 (lines 1 and 2), omit “1 July 2001—on 1 July 2001”, substitute “1 January 2002—on 1 January 2002”.
(4)	Clause 2, page 2 (line 4), omit “Schedules 2 and 3 commence”, substitute “Schedule 4 commences”.
(5)	Clause 2, page 2 (lines 6 and 7), omit “1 January 2001—on 1 January 2001”, substitute “1 July 2001—on 1 July 2001”.
(6)	Clause 2, page 3 (line 8), after “paragraph”, insert “(1A)(b), (1B)(b),”.
(7)	Schedule 1, page 4 (after line 4), insert:
Part 1—Lower child support percentages
(8)	Schedule 1, page 15 (after line 15), at the end of the Schedule, add:
Part 2—Amendments relating to family tax benefit
A New Tax System (Family Assistance) Act 1999
18  Subsection 3(1) (subparagraph (b)(i) of the definition of FTB child)
Omit “and 25(1)(b)”, substitute “and 25(1)(b), (1A)(b) and (1B)(b)”.
19  Paragraph 22(7)(c)
After “subsection 25(1)”, insert “, (1A) or (1B)”.
20  After subsection 25(1)
Insert:
	(1A)	If:
	(a)	the Secretary is satisfied that there has been, or will be, a pattern of care for an individual (the child) over a period such that, for the whole, or for parts (including different parts), of the period, the child was, or will be, an FTB child of more than one other individual in accordance with subsection 22(2), (3), (4), (5) or (6); and
	(b)	one of those other individuals makes, or has made, a claim under Part 3 of the A New Tax System (Family Assistance) (Administration) Act 1999 for payment of family tax benefit in respect of the child for some or all of the days in that period; and
	(c)	the Secretary is satisfied that the child was, or will be, in the care of that last-mentioned individual for not less than 10%, but less than 30%, of that period; and
	(d)	that last-mentioned individual, by written declaration given to the Secretary, waives the individual's eligibility for family tax benefit in respect of the child for some or all of the days in that period;
the child is to be taken, despite that subsection, not to be an FTB child of the last-mentioned individual on any day covered by the declaration.
	(1B)	If:
	(a)	the Secretary is satisfied that there has been, or will be, a pattern of care for an individual (the child) over a period such that, for the whole, or for parts (including different parts), of the period, the child was, or will be, an FTB child of more than one other individual in accordance with subsection 22(2), (3), (4), (5) or (6); and
	(b)	the Secretary is satisfied that, if one of those other individuals was to make a claim under Part 3 of the A New Tax System (Family Assistance) (Administration) Act 1999 for payment of family tax benefit in respect of the child for some or all of the days in that period, the Secretary would be satisfied that the child would have been, or would be, in the care of that individual for not less than 10%, but less than 30%, of that period; and
	(c)	that last-mentioned individual, by written declaration given to the Secretary, waives the individual's eligibility for family tax benefit in respect of the child for some or all of the days in that period;
the child is to be taken, despite that subsection, not to be an FTB child of the last-mentioned individual on any day covered by the declaration.
	(1C)	If an individual has given the Secretary a written declaration under subsection (1A) or (1B), the individual may, by further notice in writing given to the Secretary, revoke the declaration with effect from a specified day, not being a day earlier than the date of the revocation. 
	(1D)	A written declaration referred to in subsection (1A) or (1B), or a revocation of such a declaration, must be made in a form and manner required by the Secretary.
Note:	The heading to section 25 is altered by omitting “10%” and substituting “30%”.
21  Subsections 25(2) and (3)
After “subsection (1)”, insert “, (1A) or (1B)”.
A New Tax System (Family Assistance) (Administration) Act 1999
22  Subsections 23(6) and 24(4)
Omit “and sections 225 and 226 (which deal with tax debts)”, substitute “, sections 225 and 226 (which deal with tax debts) and section 227 (which deals with child support debts)”.
23  At the end of subsection 66(2)
Add:
	; and (f)	section 227 (about deductions from family tax benefit to repay certain child support debts).
24  After section 226
Insert:
227  Payment of deductions to Child Support Registrar
	(1)	The Secretary must, in accordance with a notice given to the Secretary under subsection 72AB(3) of the Child Support (Registration and Collection) Act 1988 in relation to a person:
	(a)	make deductions from instalment amounts of family tax benefit that the person is entitled to be paid under section 23; or
	(b)	make a deduction from an amount of family tax benefit that the person is entitled to be paid under section 24;
and pay amounts so deducted to the Child Support Registrar.
	(2)	However, the Secretary must not deduct an amount under subsection (1) in contravention of section 228.
	(3)	If the Secretary deducts an amount under subsection (1), then:
	(a)	on the day the amount is deducted, the total amount of the child support debts of the person (being debts referred to in subsection 72AB(2) of the Child Support (Registration and Collection) Act 1988) is taken to be reduced by an amount equal to the amount deducted; and
	(b)	on the day the amount is deducted, the person is taken to have been paid an amount of family tax benefit equal to the amount deducted.
	(4)	A deduction under subsection (1) may result in the family tax benefit that the person is entitled to be paid being reduced to nil.
228  Maximum deduction
	(1)	This section applies if a notice is given under subsection 72AB(3) of the Child Support (Registration and Collection) Act 1988 to a person that specifies:
	(a)	an amount to be deducted from family tax benefit that the person is entitled to be paid on a day or days specified in the notice; or
	(b)	a method of working out such an amount.
	(2)	The amount deducted on a particular day must not exceed the total amount of the child support debts of the person on that day, being debts referred to in subsection 72AB(2) of the Child Support (Registration and Collection) Act 1988.
	(3)	If,on a day specified in the notice, the person has at least one FTB child for whom the person is eligible for family tax benefit who is not a designated child support child of the person, the amount deducted on that day must not exceed the difference between:
	(a)	the amount of family tax benefit that the person is entitled to be paid on that day; and
	(b)	the amount of family tax benefit that the person would be entitled to be paid on that day, assuming that each designated child support child of the person was not an FTB child of the person on that day.
	(4)	If,on a day specified in the notice:
	(a)	each FTB child for whom the person is eligible for family tax benefit is a designated child support child of the person; and 
	(b)	an income support payment or an income support supplement is payable to the person;
the amount deducted on that day must not exceed the difference between:
	(c)	the amount of family tax benefit that the person is entitled to be paid on that day; and
	(d)	the forgone amount in respect of the person's income support payment or income support supplement.
	(5)	For the purposes of subsection (4), the forgone amount, in respect of a person's income support payment or income support supplement, is the amount that represents the difference between:
	(a)	the amount of the income support payment or the income support supplement that would have been payable to the person if the person had not been entitled to be paid family tax benefit on that day; and
	(b)	the amount of the income support payment or the income support supplement payable to the person on that day.
	(6)	In this section:
designated child support childof a person has the same meaning as in section 72AB of the Child Support (Registration and Collection) Act 1988.
income support payment has the same meaning as in the Social Security Act 1991.
income support supplement has the same meaning as in Part IIIA of the Veterans' Entitlements Act 1986.
Child Support (Registration and Collection) Act 1988
25  Subsection 4(1) (after paragraph (c) of the definition of appealable refusal decision)
Insert:
	(ca)	a decision under subsection 72AB(3);
26  After section 72AA
Insert:
72AB  Deductions from family tax benefit
	(1)	This section applies to a person if:
	(a)	the person is entitled to be paid family tax benefit under a determination under section 16 or 17 of the Family Assistance Administration Act; and
	(b)	the FTB child, or at least one of the FTB children, for whom the person is eligible for family tax benefit is a designated child support child of the person.
	(2)	An FTB child of a person is a designated child support child of the person if:
	(a)	the person has a registrable maintenance liability of a kind mentioned in section 17 in respect of the child; and
	(b)	an amount payable under the liability is a child support debt; and
	(c)	the day on which the debt became due and payable under section 66 has passed, and the debt remains unpaid in whole or in part.
	(3)	If this section applies to a person, the Registrar may give a written notice to the Secretary directing the Secretary:
	(a)	to deduct from each instalment amount of family tax benefit that the person is entitled to be paid under section 23 of the Family Assistance Administration Act an amount specified, or worked out as specified, in the notice; or
	(b)	to deduct from an amount of family tax benefit that the person is entitled to be paid under section 24 of the Family Assistance Administration Act an amount specified, or worked out as specified, in the notice.
	(4)	A notice under subsection (3) must:
	(a)	specify the person's name and the name of each designated child support child of the person; and
	(b)	set out sufficient particulars to enable the Secretary to identify the person and each designated child support child of the person; and
	(c)	be in accordance with section 228 of the Family Assistance Administration Act, which sets out the maximum amount that can be deducted; and 
	(d)	specify the day or days on which deductions are to be made.
	(5)	In this section:
Family Assistance Act means the A New Tax System (Family Assistance) Act 1999.
Family Assistance AdministrationAct means the A New Tax System (Family Assistance) (Administration) Act 1999.
family tax benefit has the same meaning as in the Family Assistance Act.
FTB child means an FTB child in relation to family tax benefit within the meaning of the Family Assistance Act.
The effect of the four amendments is to omit schedules 1 and 2 to the bill and the contact measure and the lower cap. Where parents share the care of their child, both parents are incurring costs in caring for their child. The contact measure does not take money away from the children; it merely redistributes some of the available funds according to where children are living. In fact, this measure results in $11 million more going to children. These changes will make the Child Support Scheme fairer and will help non-resident parents to keep seeing their children. This is good for these children. These changes are aimed to enable and encourage non-resident parents to stay involved in parenting. Research shows that, following separation, ongoing involvement of both parents in the lives of their children is good for the children. And, as the shadow minister has mentioned, we hope that in the short period of time available there can be agreement reached between the government and the opposition parties.
Further, this measure extends rather than changes current child support policy. Under the current child support formula, the liabilities are calculated based on the amount of contact a non-resident parent has with his or her children. However, the current formula only recognises the costs of contact when non-resident parents exercise contact between 30 and 40 per cent of the nights in the year. The measure also distinguishes for the first time between the liabilities of those non-resident parents who have significant and ongoing contact and those who have little or no contact. For example, a current non-resident parent who has contact every second weekend and half the school holidays, which approximates 22 per cent care, receives no recognition of this under the current arrangements. Currently, the parent with that amount of contact is recognised exactly the same as a parent who has no contact at all.
The measure is also consistent with the findings of the 1994 Joint Select Committee on Certain Family Law Issues report that the 30 per cent threshold created a cliffhanger effect for parents. The JSC recommended that a stepped approach should be introduced. The government is also concerned to improve the fairness of the Child Support Scheme by reducing the cap on income used to calculate child support liabilities. Under the cap at its current level, most high income non-resident parents are paying more than the measured costs of children. For example, research conducted by NATSEM into the costs of children shows that most payers earning more than, say, $65,000 are paying more than the costs of children in an intact family. The fundamental principle of the scheme is that both parents share the costs of supporting their children according to their capacity to contribute. Child support payments are the non-resident parents' contribution towards the support of their children. However, where a non-resident parent is contributing more than 100 per cent of the costs of the children, this leads to the view that the excess payments are transfer of funds for the support of the resident parent. This is not the intended purpose of the Child Support Scheme. The Child Support Consultative Group, which designed the formula, and the JSC both recommend that the cap be set at a lower level. The measure to lower the cap effectively achieves these recommendations.
The government puts forward today amendments that are the result of thorough and genuine investigation of the concerns expressed by non-government parliamentarians during the consideration of this bill. The government amendments provide new measures that are of direct benefit to resident parents. They are offered on the basis of a genuine compensation to resident parents for any perceived disadvantage in the original measures that I have outlined today. These amendments provide for two new measures relating to family tax benefit and change the commencement provisions for some measures in the light of the delayed passage of the bill. 
The first new measure allows a non-resident parent with 10 per cent to 30 per cent contact with his or her child to waive eligibility for family tax benefit for a period so that the resident parent may receive the full amount of the family tax benefit of the child. This is clearly beneficial to the group potentially affected by the original proposals, especially in the case in which the resident parent cannot be paid family tax benefit because of high income. An amount of family tax benefit that could not previously be paid to either parent may now, under these amendments, be available to the resident parent. This measure would commence on 1 December 2001. (Extension of time granted) The second new measure allows an outstanding child support debt of a person who is entitled to be paid family tax benefit to be recovered from the person's family tax benefit entitlements. This directly responds to concerns expressed by resident parents whose family tax benefit is reduced because of contact by non-resident parents with the child even if the non-resident parent defaults on his or her child support. This measure would commence on 1 July 2002.
The measures in the bill for which the commencement dates will change, due to the delayed passage of the bill, are—assuming there is agreement: the lower formula percentage for payers exercising contact, schedule 1, will now commence on 1 July 2002, formerly 1 July 2001; the lower cap on payer income, schedule 2, will now commence on 1 January 2002, formerly 1 January 2001; and the assessment of income for child support payments for people undertaking overtime or second jobs, schedule 3, will now commence on royal assent, formerly 1 January 2001. The commencement dates for all other measures in the bill are not to change. I table the supplementary memorandum.",REPS,<title>CHILD SUPPORT LEGISLATION AMENDMENT BILL (NO. 2) 2000</title>,<title>Consideration of Senate Message</title>,Bills,16,1
