name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id
"Smith, Tony, MP",LP,2018-03-01,"



The SPEAKER
 (09:31):  I wish to make a brief report to the House on the 24th Conference of Speakers and Presiding Officers of the Commonwealth in the Seychelles between 8 and 11 January this year, which I attended with the Clerk. Held every two years, CSPOC, as it's known, is a valuable opportunity to meet and discuss issues of shared interest with over 50 presiding officers from the national parliaments of Commonwealth member states.


The agenda for this year's conference included keynote addresses on strengthening parliamentary democracy, the use of technology to support members and house business, strengthening parliamentary research capacity and emerging security issues for parliamentarians. The keynotes were followed by useful workshop discussions, including one led by me on security. It was most interesting to hear from Commonwealth colleagues about security issues they're facing in their parliaments and the steps they're taking to address them.


I also met with the Speaker of the National Assembly of Mauritius to discuss strengthening links between our national parliaments and with Australians living in the Seychelles who assist our High Commission in Mauritius with consular matters on a voluntary basis. I visited the Bel Ombre school, a primary school that's twinned with Nerang State School on the Gold Coast for the Commonwealth Games.


Following CSPOC, I travelled to Mauritius for a three-day visit marking the 50th anniversary of Mauritian independence, which falls this year. Mauritius will celebrate its national day in this special anniversary year on 12 March, next Monday week.


It's a pleasure to welcome the Mauritian High Commissioner to Australia, Her Excellency Ms Christelle Sohun, to the chamber today and also the foreign minister, who's here to meet with her. My visit to Mauritius was the first by an Australian Speaker. Our countries enjoy a longstanding, warm relationship based on shared values, democracy, the rule of law and an interest in developing commercial ties. Australia's the home to a large Mauritian diaspora of over 2,000 students. Two-way trade between Australia and Mauritius stood at more than $400 million last year, and over 100 Australian companies are operating there.


Whilst in Mauritius I was delighted to have the opportunity to meet both the President and the Prime Minister, who spoke warmly of the relationship between our two countries. I also visited the Dukesbridge preparatory school, founded by Australian Ms Shannon Briggs and her Mauritian husband, and the school is also twinned with a school on the Gold Coast in the lead-up to the Commonwealth Games. I also had the pleasure to meet with the Deputy Speaker of the National Assembly and the chair and two members of their Public Accounts Committee to discuss the work of their committee and ours, and attended a high-level business round table organised by the Mauritius Chamber of Commerce and Industry.


I was also pleased to meet with Mauritian-based representatives of the Indian Ocean Rim Association and the Commonwealth Climate Finance Access Hub to discuss issues relating to environmental sustainability initiatives and the ocean economy. I also met with the vice-chancellor of the University of Mauritius and gave a presentation to staff and students on democracy and the role of the Speaker, after which I attended the reception hosted by the Australian high commissioner to celebrate Australian-Mauritian links. 


I also paid my respects at the grave of naval bandsman Arnold Partington, an Australian serviceman who died during World War II and is buried in the Commonwealth war graves section of Phoenix Cemetery, after which we toured a world heritage site, a museum commemorating the arrival of indentured labourers on Mauritius during the 19th century. I then met with representatives of Austral Fisheries, an innovative Australian company specialising in sustainable fishing operating out of Port Louis. We then visited a women's halfway home outside Port Louis, operated by African NGO Gender Links, and presented a cheque equivalent to over A$14,000 raised by local supporters, including the Australian High Commission. 


Your Excellency, please accept the congratulations of the House and convey our best wishes to the government and people of Mauritius on this significant anniversary. We look forward to further strengthening our parliament-to-parliament links as we move towards the 50th anniversary of diplomatic relations with Mauritius. I'm pleased the Minister for Foreign Affairs is here to meet with you in a minute or so. While she's here, I also wish to record my appreciation to the Australian High Commissioner to Mauritius, Ms Jenny Dee, and her staff for their work in developing the program for the visit and for their very able assistance while I was there. The foreign minister, Jenny and her team did a fantastic job and made the visit the success it was. I thank the House, and I thank the foreign minister for coming here this morning for this statement.

",HoR,<title>STATEMENT BY THE SPEAKER</title>,"<title>Conference of Speakers and Presiding Officers of the Commonwealth, Mauritius: 50th Anniversary of Independence</title>",STATEMENT BY THE SPEAKER,0,1
"Frydenberg, Josh, MP",LP,2018-03-01,"



Mr FRYDENBERG
 (Kooyong—Minister for the Environment and Energy) (09:37):  by leave—I move:


That this bill be now read a third time.


Question agreed to.


Bill read a third time.

",HoR,<title>BILLS</title>,<title>National Housing Finance and Investment Corporation Bill 2018</title>,BILLS,1,1
"Broad, Andrew, MP",Nats,2018-03-01,"



Mr BROAD
 (Mallee) (09:39):  I present a corrigendum to the report of the Standing Committee on Environment and Energy entitled Powering our future: inquiry into modernising Australia's electricity grid, together with the minutes of proceedings.

",HoR,<title>COMMITTEES</title>,<title>Standing Committee on Environment and Energy</title>,COMMITTEES,2,1
"Broad, Andrew, MP",Nats,2018-03-01,"



Mr BROAD
 (Mallee) (09:39):  I present a corrigendum to the report of the Standing Committee on Environment and Energy entitled Powering our future: inquiry into modernising Australia's electricity grid, together with the minutes of proceedings.

",HoR,<title>COMMITTEES</title>,<title>Report</title>,COMMITTEES,2,2
"Hart, Ross, MP",ALP,2018-03-01,"



Mr HART
 (Bass) (09:40):  I'm pleased to have the opportunity to speak on the Treasury Laws Amendment (National Housing And Homelessness Agreement) Bill 2017. Homelessness is a destructive and growing social and economic problem. It is unacceptable that in a country of wealth and opportunity such as ours many of our fellow Australians have nowhere to call home. Having an affordable, secure and appropriate home with reasonable access to services is essential to financial, social and emotional wellbeing. 


I've spoken often in this place about the damaging effects of growing inequality in our communities. More than 74,000 Tasmanians live below the poverty line. As housing costs rise, low-income Tasmanians find it increasingly difficult to access affordable housing. Lack of affordability is a major cause of homelessness and a barrier to pathways out of homelessness. There is no greater example of inequality than people having to sleep on the streets, to couch surf, or live in overcrowded and unacceptable housing conditions, whilst others live in unimaginable luxury and privilege. 


The causes of homelessness are varied: lack of affordable housing, loss of employment, family breakdown and domestic violence, mental health issues, substance abuse, and transition from care or custody. These are all potential reasons why a person might find themselves without suitable accommodation. On any given night in Tasmania, for example, there are approximately 1,500 people experiencing homelessness. This could mean sleeping rough, couch surfing, spending time in supported accommodation or making do in other dwellings like a car or a tent. Indeed, in the last two weeks it's been brought to the attention of my office that, within 100 metres of my electorate office, there are people sleeping homeless in one of the laneways within the CBD of Launceston. 


Young people and children are the fastest-growing cohort of homeless people. Thirty-three per cent of all people seeking housing support are under 24 years old. This is of particular concern, because we know that children who experience homelessness have an increased risk of becoming homeless in later life. We are now in the shameful situation where we are seeing third-generation homelessness in Australia. This is the result of a failure to invest long-term in people for whom housing is unaffordable and inadequate, and who are at risk of homelessness. 


According to Shelter Tasmania, in the 2015-16 financial year homelessness services in Tasmania assisted 7,859 individuals, an increase of 19 per cent over the previous two years. Even more concerningly, there was a 20 per cent increase in unassisted requests in the same year. Currently, on an average day in Tasmania, around 18 requests for housing assistance cannot be addressed because of a lack of available accommodation. 


This is not to downplay the critical work being done by support services providing social housing and crisis accommodation. In northern Tasmania, there are several organisations working tirelessly to support people experiencing homelessness and those who are at risk of becoming homeless. For example, a small community organisation called Launceston Feeding The Homeless is a volunteer-run group set up by local woman Kirsten Ritchie. Anyone who is experiencing homelessness or is in need of a decent meal is welcome to attend their daily barbeque, which is held at a local park. The group also provides basic necessities such as swags, blankets, clothing and toiletries to those who are in need.


I have also worked closely recently with Karinya Young Women's Service, a specialist service based in Launceston. That service recognises that homelessness is not only not having a home; it's also when you don't have a safe home to go to. Karinya provides short-term crisis accommodation, meeting the need for safe, confidential accommodation for young women in the Launceston and Greater Northern Tasmanian region. I must also recognise the work of organisations such as City Mission, St Vincent de Paul, Colony 47, Anglicare and others. 


I know from many conversations with constituents that the demands for these services are ever increasing and resources are often stretched to capacity. Of course, this is not by any means a problem confined to Tasmania. Recent figures indicate there are approximately 100,000 Australians experiencing homelessness on any given night. A further 394,000 Australian households currently reside in social housing, and around 288,000 Australians access specialist homelessness support services every year—not to mention that pressure on housing affordability and markets means that, for many Australians, the dream of ever owning a home will likely never become a reality. 


The legislation that we have before us today represents the government's response to this critical issue of housing and homelessness in Australia. This bill seeks to legislate aspects of the proposed new National Housing and Homelessness Agreement, the NHHA, as announced in the 2017 budget. The agreement combines the National Affordable Housing Agreement and the National Partnership Agreement on Homelessness into a single agreement from 1 July 2018. Under the new agreement, a total of $4.6 billion over three years from financial year 2018-19 is provided. Of this funding, there is slightly more than $1.4 billion a year for housing-related purposes, provision from the ongoing funding in the budget for the National Affordable Housing Agreement. There is also $375.3 million to be provided over the forward estimates to fund ongoing homelessness services. This funding, which is indexed, is intended to be matched dollar for dollar by state and territory governments. The matching fund requirement is sought to be legislated in this bill. 


At this point, I might note that this bill was introduced last year, on Wednesday, 25 October. This was a full two days before state treasurers and housing ministers were supposed to meet with their federal counterparts to negotiate the contents of the agreement. Treasury has since confirmed that states and territories were not consulted about whether the tied funding arrangements which are provided for in this bill would be legislated. Neither did they receive copies of the proposed legislation prior to its introduction into parliament. It speaks volumes as to the priorities of this government that they would seek to bring to this House a bill for a national agreement on housing and homelessness before any deal had state and territory approval. It is, in my view, pure arrogance that those opposite think that this is the way to negotiate with states and territories on national reform in this critical area. For such a critical matter, you'd think that the government could at least get this right. Rather, all we have is another example of the chaotic and dysfunctional way in which this government operates. 


The government announced its intention to negotiate a new NHHA as part of its 2017-18 budget measures. Those opposite talked up the measures as a comprehensive plan to improve housing affordability, although it soon became abundantly clear that that was simply not the case. Mr John Daley, CEO of the Grattan Institute and an acknowledged expert in the field of housing policy, has said that he could not see any reason why this budget would make any discernible difference to housing affordability or to the ability of a number of young people to buy a house. 


The organisation Homelessness Australia noted the budget was 'not fair' because it failed to fix a broken housing system—a system that encourages investors to own more than one house, while 105,000 Australians haven't any home. Mission Australia quite correctly pointed out that the budget contained insufficient assistance for people in rental stress who remain one step away from homelessness, with rents increasingly unaffordable for young and old Australians alike, and with those on Newstart and the age pension struggling to find a home within their means. Richard Holden, a professor of economics and a fellow at the University of New South Wales, summed it up perfectly, saying that the housing measures in the budget involve 'not much more than tinkering' by the government, with the 'biggest disappointment' being the total absence of any measure to address negative gearing and capital gains tax exemptions for rental properties.


It is almost universally agreed that any credible national housing affordability plan must include reform of negative gearing and capital gains tax discounts. During the inquiry into this bill by the Senate Economics Legislation Committee, the issue of tax reform came up time and time again as being absolutely essential. Peter Windsor, the executive director of the Community Housing Industry Association, told the committee:


… as a point of principle I'd say that we would think that capital gains tax and negative gearing distributions should equally benefit the whole of the community, not just those on high incomes, or those who are in a position to accumulate wealth through property.


Mr Adrian Pisarski on behalf of National Shelter made similar comments, bringing to the attention of the committee the disparity between the effective subsidy of negative gearing and the capital gains tax discounts provided to private market rental housing and the depth of subsidies provided to social housing. He also emphasised the very different standards of accountability and transparency the government demands from each sector, saying:


There is a double standard for the Commonwealth where it is perfectly prepared to hold the states accountable for a billion dollars' worth of spending but for some—I think the figure is $14 billion or $17 billion worth of tax expenditure that goes to support the private rental market—there is no accountability—none at all.


In fact, the Senate inquiry into this bill highlighted several issues with the legislation and the government's housing strategy more generally. These were discussed in some detail in the additional comments by the Labor senators in the committee's report. Firstly, there is a concern from this side of the House that the input controls placed on the states and territories as a condition of funding will not necessarily contribute to improved performance against housing and homelessness outcomes under the NHHA. Rather, a more effective way to improve outcomes would be to build mechanisms into the agreement to provide a clear basis for outcomes.


As I indicated in my outline at the commencement of this speech, the issue of housing and homelessness is something which will not go away without direct, concrete action. That means that this government needs to put before this House legislation which deals with the issue of homelessness and housing affordability in a proper strategic manner. Unfortunately the government has done nothing which fulfils that objective. What it has put forward are a series of budgetary measures which have been extensively criticised by the community organisations that operate in this field.


This is something which affects people from across society. Every community in Australia is beset by the scourge of homelessness. It is simply not good enough that within 100 metres of my electorate office, in a regional town like Launceston in northern Tasmania, in a wealthy First World country like Australia, we have people sleeping rough. We have people sleeping rough in every town and every major city in this nation. It is simply not good enough that we fail to adequately resource the many organisations that are in a position to provide proper shelter for our homeless people.


We know the evidence shows that people who are suffering homelessness are more likely to present at our public hospitals. They are more likely to have multiple issues with mental health and poor physical health when they attend the emergency departments of our hospitals. We need to do more than simply sit by. We need to invest in the future of these Australians that are presently either experiencing homelessness or at risk of homelessness. In my speech, I also made reference to the people that are affected by domestic violence.


In closing, I would urge this government to put more money into addressing the scourge of domestic violence, because people that need to leave the safety of their own home because they are fleeing from domestic violence need to have safe housing accommodation.

",HoR,<title>BILLS</title>,<title>Treasury Laws Amendment (National Housing and Homelessness Agreement) Bill 2017</title>,BILLS,4,1
"Sudmalis, Ann, MP",LP,2018-03-01,"



Mrs SUDMALIS
 (Gilmore) (09:55):  I rise to speak on the Treasury Laws Amendment (National Housing and Homelessness Agreement) Bill 2017. I want to make a quick note about the last comment of the last speaker before I get into this. Whilst I agree we do need housing for women who are victims of domestic violence, I actually believe it should be the other way around: rather than the victim having to leave the home, there should be better state laws to move the person who's doing the victimising out of the home. So that is a bit of flip on that circumstance, but that's a state government thing and they need to get their act together.


The government is introducing a new Housing and Homelessness Agreement with state and territory governments to increase the supply of new homes and improve outcomes for all Australians across the housing spectrum, particularly those most in need: those who will find it hardest to buy their own home, and those who are looking at being turfed out of a rental home. The 2016 COAG report on performance confirmed that three of the four benchmarks that had been originally set and were being adopted by the National Affordable Housing Agreement had not been achieved, despite the government providing the states with over $9 billion since 2009. From that period up until 2016, growth in the size of social housing stock didn't change and the numbers on the waiting lists have actually increased. This would cause any commonsense politician to ask why there has been no change in the number of houses built, or why there isn't a reduced number of people on the waiting list.


Clearly, there is a need to change the foundation stones of this particular funding. The government aims to deliver more affordable housing and build more homes—unlike the previous funding model, where only one of those four benchmarks was actually achieved. Originally, there was an expectation of a 10 per cent reduction in the proportion of low-income renter households who experienced rental stress. There is no evidence that that progress has been made. The trend actually shows an increase in people who are experiencing rental stress of more than seven per cent. There was supposed to have been a seven per cent reduction in homelessness, but there has been a 17.3 per cent increase. There was supposed to have been a 10 per cent increase in the proportion of Indigenous Australians who own their own home. There is no evidence of any increase there. The one benchmark that is on track for a positive outcome is the 20 per cent reduction in the proportion of Indigenous households living in overcrowded conditions.


The new agreement makes sure the funding level is maintained and ongoing. It is being kept at the current funding level of over $1.3 billion per year, provided under the National Affordable Housing Specific Purpose Payment—which clearly didn't work; it only met one target out of four. The new national agreement will have a requirement for concrete outcomes: to build more homes, and to make sure there are housing outcomes across the entire spectrum. It will include specific funding for homelessness and provide greater certainty to providers on the front line of those who provide homelessness services directly to those people. I know that those in my community who have been working so hard with this group of people will be very welcoming of that comment, that statement, and that connection so that they have got funding that's guaranteed all the time.


This bill reforms housing-related payments to the states and territories by establishing a requirement for greater accountability and transparency for the Commonwealth funding received by the states and territories. In the end, the states and territories are responsible to every tax-paying Australian—to make sure they get the best bang for their buck—when they are building these houses for the people who need them most, and trying to keep the homeless off the streets.


These amendments provide for certainty and clarity around the conditions for payments in relation to the primary and supplementary housing agreements. They reflect concerns raised by stakeholders, including all the states and territories. None of the amendments change the original intent or effect of the legislation. The amendments to the National Housing and Homelessness Agreement will allow the states and territories to receive funding, provided they are party to the agreement for that financial year, and allow some administrative flexibility when there are genuine reasons for the states not meeting the strict requirements for payments. An example might be where a website outage means the state's strategy is not publicly available. On all other matters, they should be accountable.


It will also clarify the expectation that state housing strategies must not only contribute to meeting the aims but wholly meet any housing supply to meet the projected demand. We know we are going to have an increasing demand. We know we need to meet this. We know that there are people out there living rough, and we need to address it. It's not just the federal government who should be parking their energy here. The states and territories are equally responsible, and so they should be meeting that demand.


Currently, funding is provided under the Transitional National Partnership Agreement on Homelessness, and this is due to cease on 30 June this year. Last year, when the bill was introduced, the states and territories raised concerns about some of the applications. The amendments that are provided here add additional certainty and clarity concerning the conditions for payments in relation to the primary and supplementary housing agreements.


The legislation enables payments to be made to the states and territories under the conditions set out in the bill, and the agreement will move the states and territories to a tied funding agreement, which is a source of sensitivity, as funding under the previous situation was not tied. Personally, I can't fault this aspect of the agreement. In fact, it was that statement alone that made me feel so strongly about this legislation. We must have financial responsibility from the states and territories to account for the Australian taxpayers' dollars which are being invested in this field. To have $9 billion invested over a seven-year period and very little to show for it is pathetic. So if we actually get some tied funding here which says to the states and territories, 'We're going to give you this much, and we expect you to do this, this, this, this and this, and we expect outcomes from you; if you don't get your act together, you're not going to get any more taxpayer dollars,' that is absolutely essential. Too often the federal government disburses taxpayer dollars to the states and territories and there is little or no real accountability.


The publication of housing and homelessness strategies will increase public awareness and confidence that all levels of government are making a sincere effort to help solve these problems. The establishment of a single new agreement will provide ongoing and indexed funding. This will give certainty about the funding for many frontline homeless service providers, as I said before, and they need that. They need to know that they've got a certain number of dollars coming in every month and every year so they can do projected ideas and budgets, get the right staff in, get the right volunteers organised and provide a good service.


A series of round tables have been held with the key stakeholders, including these very same homelessness services, community housing providers, housing industry representatives and academics. I do hope they also have some of the people who are the very aim of this project, who are those who don't have a roof over their head at this moment. Too often, I've been told that a person on the street can't be put into a single-bedroom unit because they've got too many other things going on, or that a young mum who has three children and is living rough in the car can't have the three-bedroom house that's vacant three doors down from my office because each one of those children, according to the rules, must have their own bedroom. What that mother wouldn't give to have that house! She's quite happy to put double bunks in one of those bedrooms.


We need to be realistic and have common sense. There needs to be a really good solution strategy for this, because too often I have people coming into my office who need fuel for their car so that they can go from place to place. They can't get into a house because the rules say there are not enough bedrooms, but all they want is a roof over their head and security. I spoke to two girls who were camping up at the showground. One of them had an opportunity to live in the garage in the backyard of another person's house, which had been made into a makeshift flat. She couldn't go because she had a dog, so she was living rough up at the showground. 


Unfortunately, women in those circumstances are more vulnerable than they are in any other space or place. These girls were both victims of domestic violence. They both had a roof over their head, but the perpetrator was still living in the house! For goodness sake, states and territories, get your act together. Stop victimising the victim and making it worse for her. Leave her in the home and move the perpetrator out of the house. That's all part of the problem of homelessness. We need to get our act together. This bill is a good foundation and a great start—and tied funding is absolutely essential.

",HoR,<title>BILLS</title>,<title>Treasury Laws Amendment (National Housing and Homelessness Agreement) Bill 2017</title>,BILLS,4,1
"Hill, Julian, MP",ALP,2018-03-01,"



Mr HILL
 (Bruce) (10:05):  You might remember the lead-up to the 2017 budget last year when the newspapers were trumpeting that housing was going to be the centrepiece of the budget, that the Treasurer was going to stun us with initiatives and that we were going to finally deal with the housing crisis that is enveloping the nation. That went on for a week or two until obviously something happened in the cabinet and they had one of their little scrag fights and they realised that they actually weren't prepared to do any serious reform to deal with the demand side of the equation—which, as we know, is the key issue within the federal government's province. And then there was nothing. Well, actually, not nothing; there was a series of tiny little measures which really won't do very much at all to address the problem—it certainly wasn't a budget centrepiece—and this bill, the Treasury Laws Amendment (National Housing and Homelessness Agreement) Bill 2017, is one of those.


I think the government's political strategy, or parliamentary strategy—or maybe both—seems to be that, if you scatter around the Notice Paper enough teeny-tiny bills with 'housing' in the title, maybe people will think that you're doing something about housing. This is one of those bills. You can tell what they really want to talk about, and what they just hope will kind of disappear and not get remarked upon by the number of speakers listed. So we've had in the last half-hour the circus of having no government speakers and then we were served up one honourable muppet to read out some stuff that the minister's office has given them.




Mr Frydenberg:
  Deputy Speaker, that was unparliamentary.




The DEPUTY SPEAKER 

(
Mr Rob Mitchell
):  Maybe frivolous.




Mr Frydenberg:
  To call a colleague a muppet is unparliamentary.



The DEPUTY SPEAKER:  That word has been used before, and I actually questioned it myself and the Speaker let that through. So I will follow the Speaker's ruling, and the member for Bruce will continue.




Mr Frydenberg:
  Okay; I will check that.




Mr HILL:
  It is not unparliamentary to call someone a muppet when you get up and read stuff that you clearly don't understand. But that follows on from the member for Gilmore's fine contribution in the Federation Chamber when she told us all that it's an outrage that universities have a surplus and that's why we need to cut their funding. It obviously escaped her at that time that the point of a surplus for a university is to use it to build capital. So we're not going to get any new stuff at universities—but, anyway, that's another digression.


This bill seeks to legislate bits of the proposed new national housing agreement. It combines the previous NAHA and the NPA. It's a mix of housing-related funding and a little bit for homelessness. The payment of the dollars is to be in accordance with the primary agreement. That sounds fine, except that it's not actually going to do anything to address the housing crisis in Australia. We are still a nation that is amongst the least affordable in the entire world to buy or rent a house in our major capital cities. You only need to talk to any young people trying to get into the housing market—I was out at university O-weeks in the last couple of weeks—to know that young people despair at their prospects of ever breaking into the housing market.


It was only a few decades ago that you used to need about four to five times average weekly earnings to buy a medium house. That's been a fairly constant feature. But over the last couple of decades we've seen that blow out, in Melbourne and Sydney in particular, where you need 10 to 11 times average weekly earnings to have a crack at getting into the housing market. Nothing that the government are doing is addressing those fundamental issues. They're fiddling around the edges. They have had three policies. We had the 'get rich parents' policy of the Prime Minister. Then we had the Treasurer's policy of 'get a well-paying job'. And then we had the former Deputy Prime Minister's policy of 'get rich mates'. That will get you a house in Armidale, apparently. None of that is going to deal with the fact that we have 195,000 people on the social housing waiting list across Australia.


We have a homelessness crisis. There were 288,000 people who presented in 2017 to homelessness services across the country. We are seeing a growing crisis with older women in particular. As the Grattan Institute said in relation to this bill, 'You would need an electron microscope to discern any possible impact that this bill may actually have.' So let's be clear: all the government are doing is reorganising a bunch of agreements with states and territories, with no new funding, into a bunch of different agreements. That's it. It's administrative change; it's not policy and it's not actually dealing with the housing crisis. They are reorganising the administrative agreements.


No single level of government in this country can deal with housing alone. They can't. The federal government controls a range of the levers, particularly in relation to demand: the tax settings, migration settings and so on. The state governments have primary responsibility for supply—that is, making sure enough new houses are built to meet demand. Local governments have a key role in that, particularly with planning and development approvals and so on. You would think that, if you recognised the reality of our system of government, you'd sit down with the states and territories in a cooperative fashion and work this out.


Instead, with this government we have no minister for housing. There is no minister for housing whatsoever. You can't find one. There's not a single minister sitting on that side or in the Senate with 'housing' in their title. They have no strategy and no plan. We heard the previous speaker try to explain to us that this bill requires the states, in return for any money, to have a strategy and a plan. That's okay, except that it's one-sided. There's no requirement on the Commonwealth to have a strategy or a plan for housing, but they're going to turn up and say to the states, 'You've got to have a strategy and a plan,' when all the big levers sit with the Commonwealth, as we know.


We also heard the member for Bass remind us that this bill was introduced on 25 October, two days before the government even sat down with the states and territories to try to negotiate some changes. I think the government are making a reasonable point. We should always expect the best value for taxpayer dollars—there's no disagreement there—but, if there are issues—as COAG identified—with the previous performance framework under the Rudd government's agreements, then sit down, work it out and improve them. Instead, you're putting all your effort into reorganising the agreements, scrapping some and putting others in place. It doesn't actually deal with the problem.


Reading the Senate inquiry transcript and the report is instructive. It's another example of how completely out of touch and loony the Turnbull government are when it comes to policy development. They're in another universe. Treasury officers celebrated 'the spirit of cooperation and constructiveness' surrounding their negotiation with the states regarding the bill, yet the states themselves are extremely unsupportive of the bill. In fact, the state treasurers have now actually given up and set up a board of treasurers that doesn't include the Commonwealth Treasurer to come up with a housing plan. They haven't even got the Commonwealth at the table. I'd hate to see what the government thinks is a hostile environment.


The states also suggest that the broadened scope of the legislation threatens to spread a limited amount of funding across too many expenses, which threatens crucial services on top of the uncertainty that's already making the non-government organisations so uneasy in the first place. The Liberal Party says that the bill will:


…promote better outcomes for the Commonwealth's housing and homelessness funding … without jeopardising the funding of crucial services …


That's what the minister told us in his second reading speech. But if you actually talk to the non-government organisations—the community organisations all around the country who every hour of every day are actually dealing with the homelessness crisis—they say that all this bill will do is create obstacles. It doesn't create any solutions. It amounts to 'moving the deckchairs around on the Titanic'. It represents 'a progressive, protracted diminution of effort'. When you look at the funding outlook under these new agreements, the Commonwealth is going to be putting less effort into homelessness, despite the growing crisis.


I commend the Andrews Labor government, who have at least recognised that they can't wait around for the Commonwealth to come up with a grown-up plan, to get a minister or to get a strategy. They announced in mid-January—it was a fantastic kick-off-the-year announcement in Victoria—$45 million of new money for dealing with the homelessness and rough-sleeping crisis, which includes parts of my electorate down in Dandenong in particular.


The Liberals say that their bill will secure improved outcomes. All the experts who work in the field—not the geniuses who occupy the government benches over there—say that the entire bill is premature in the absence of an urgently needed national strategy. There's no strategic vision. It's fine to introduce bills and rearrange administrative agreements, but you still don't have a plan or a strategy to deal with the housing crisis or 'the tsunami of Australians facing homelessness or insecure housing'. Again, the government's perception of reality contrasts with that of the people across the nation who are actually at the coalface trying to deal with the homelessness crisis. 


It's also at odds with the interests of everyday Australians who simply want to return to a time when their children and grandchildren had some hope—just some hope—of getting into the housing market without having rich parents to give them a hundred grand or two hundred grand for a deposit. That is the key point. It's one-sided. There's no coherent strategy. They're ignoring the advice of experts. Indeed, on capital gains tax or negative gearing, as we've now learnt in the last few months, they're ignoring the advice of their own Treasury, which said, 'You really need to look at the reform of tax concessions.' They are fiddling around the edges, making some payments conditional, restructuring some payments, but not actually doing anything to formulate a Commonwealth strategy.


It's an illustration of a theme that many of us have touched on before: the distinction between being in government—and being in government in here means you sit on the opposite side of the chamber, you get to be the ministers, and you get the great privilege and responsibility of having the Public Service to work with and to advise you in making decisions—and actually governing, which means you need to look at problems and make decisions. Governing, to my mind anyway, means you develop a strategy to deal with a problem. For this government, being in government apparently just means that, like a bunch of demented bureaucrats who happen to have been elected, you rearrange the administrative agreements.


The government has also totally ignored the recommendations of the Productivity Commission, which said the federal government has to do more to work with the states in the spirit of Australian federalism. Yet the government tabled this bill without even talking to them. The Productivity Commission also recommended that the government—and this is important—not seek 'reform through control of payments'. In fact, out of all the policy options identified, that's the least effective and the least preferred one. Yet here we are debating a bill where that's all they're doing.


The bill will achieve nothing. It's a drop in the ocean, and I note the Grattan Institute's comment about needing an electron microscope to be able to see any impact this bill will actually have on house prices, on homelessness and on the crisis in social housing across the country. We're always being lectured by those opposite on how we apparently don't know anything about economics, so I would also make the point that it's about the basic laws of economics: supply and demand. We were told that the budget had an initiative about supply. The Commonwealth government was going to release Defence land to help boost supply. The centrepiece of this was the Maribyrnong Defence land in Melbourne. The only problem with that is that it was announced about 12 years ago, so it's not a new initiative at all. Of course, the reason it hasn't happened is that the land is covered with explosives and contamination. If fully developed, at a really incredible density you might get 10,000 houses—it will probably be more like 6,000—which goes almost no meaningful way to addressing the supply issues which we're told need to be addressed in metropolitan areas, despite the fact the Victorian government has the nation's leading supply and demand forecasting by way of the Urban Development Program, where every two years they sit down with developers and councils to identify all the development sites across Melbourne. It's entirely unclear what this bill is actually going to do that's not already being done, at least in my home state of Victoria.


Finally, there are the tax concessions. You can't credibly get up now to talk about housing policy in this country without reminding the government that nothing serious will happen until they accept the fact that the levers the Commonwealth have in relation to demand go to the tax settings. We exist in a country now where, as a high-income earner—and we're well paid in here; apparently, the government thought it was not well enough, so we were the priority to get a tax cut in this budget, which says a lot about their own priorities and predilections—the most rational thing to do on a Saturday morning when you have a bit of spare cash in your pocket is to walk down the street to an auction and bid up the cost of an existing house, because you'll get a great big tax kick. On the other hand, of course, a first home buyer, a young person trying to get into the market, gets nothing. With the tax settings in this country, it's easier now to buy your 13th property than it is to have a crack at getting your first one, and that has to change.


It's a pretty fair and simple proposition. Overwhelmingly, tens of billions of dollars of tax expenditures in negative gearing and capital gains tax exemptions go to the people who have the most. They go to the top income earners, the people who already have the most wealth and capital. Of course, your ordinary everyday Australian simply does not benefit from that. You may wonder why this is. Let's be honest. Let's be clear. When you strip back all the fine words and all the nonsensical dot points that they send the odd backbencher in to read out—cannon fodder that they are—the Liberal Party is the party of wealth and capital. That has always been its historic purpose; that is its purpose today. Those who already have wealth and capital will do well out of this government. They will get tax cuts. They will get enormous tax concessions. Multinational companies will get a tax cut. Yet nothing meaningful is being done to address the needs of everyday Australians who don't already have wealth and capital and who are simply trying to get by, get a pay rise and maybe get a tax cut—but they're not the priority under this government.

",HoR,<title>BILLS</title>,<title>Treasury Laws Amendment (National Housing and Homelessness Agreement) Bill 2017</title>,BILLS,4,1
